param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,mean_test_score,std_test_score,rank_test_score
200,10,2,1,0.5,True,0.8047399996328455,0.04103208302133351,292
500,20,5,4,log2,True,0.8047349084255808,0.043917943585411075,293
500,30,2,4,log2,True,0.8047349084255808,0.043917943585411075,293
500,30,5,4,log2,True,0.8047349084255808,0.043917943585411075,293
500,20,2,4,log2,True,0.8047349084255808,0.043917943585411075,293
500,,5,4,log2,True,0.8047349084255808,0.043917943585411075,293
500,,2,4,log2,True,0.8047349084255808,0.043917943585411075,293
500,5,2,2,0.5,True,0.80472952349482,0.04479863405357822,299
300,10,5,1,sqrt,True,0.8047155716287581,0.0424513471933165,300
300,10,5,4,log2,True,0.8046996248906186,0.04601344807687143,301
300,10,2,4,log2,True,0.8046996248906186,0.04601344807687143,301
200,10,5,4,log2,True,0.8046993311671227,0.04512993214710479,303
200,10,2,4,log2,True,0.8046993311671227,0.04512993214710479,303
300,10,10,1,log2,True,0.8046791009613324,0.04537650360145139,305
300,5,2,1,0.5,True,0.804655199211842,0.04384574031003617,306
500,20,2,2,0.5,True,0.804648272232727,0.04634040175382622,307
500,,2,2,0.5,True,0.804648272232727,0.04634040175382622,307
500,30,2,2,0.5,True,0.804648272232727,0.04634040175382622,307
300,10,10,4,sqrt,True,0.8045873980381717,0.045733973322736786,310
200,20,10,1,sqrt,False,0.8045830656166052,0.043974863277964904,311
300,20,10,1,log2,False,0.8045783905176265,0.043430289794290346,312
500,10,10,1,sqrt,True,0.804534442139531,0.04224515970277945,313
200,10,10,1,log2,False,0.8045108218750574,0.044498433281503734,314
300,20,5,1,sqrt,False,0.8045053390364647,0.04375627673521277,315
500,20,2,2,sqrt,False,0.8044620270592769,0.04237161884195171,316
800,,2,4,log2,True,0.8044188986592745,0.04448830199348519,317
800,30,2,4,log2,True,0.8044188986592745,0.04448830199348519,317
800,30,5,4,log2,True,0.8044188986592745,0.04448830199348519,317
800,,5,4,log2,True,0.8044188986592745,0.04448830199348519,317
800,20,2,4,log2,True,0.8044188986592745,0.04448830199348519,317
800,20,5,4,log2,True,0.8044188986592745,0.04448830199348519,317
200,,5,2,log2,True,0.8044094015995691,0.0492942791148037,323
200,30,5,2,log2,True,0.8044094015995691,0.0492942791148037,323
200,20,5,2,log2,True,0.8044094015995691,0.0492942791148037,323
300,5,10,1,0.5,True,0.8044062563104658,0.042947780927016836,326
200,20,10,2,log2,False,0.8043982523451987,0.043568918779084025,327
200,30,10,2,log2,False,0.8043982523451987,0.043568918779084025,327
200,,10,2,log2,False,0.8043982523451987,0.043568918779084025,327
200,10,10,1,log2,True,0.8043736040484889,0.04492137042138733,330
200,20,10,1,log2,True,0.8043724536314627,0.04458238293213033,331
200,,2,4,sqrt,False,0.8043673991396348,0.04508752767819846,332
200,20,2,4,sqrt,False,0.8043673991396348,0.04508752767819846,332
200,,5,4,sqrt,False,0.8043673991396348,0.04508752767819846,332
200,30,2,4,sqrt,False,0.8043673991396348,0.04508752767819846,332
200,30,5,4,sqrt,False,0.8043673991396348,0.04508752767819846,332
200,20,5,4,sqrt,False,0.8043673991396348,0.04508752767819846,332
800,10,5,2,log2,False,0.8043587342965015,0.04081284119787113,338
200,20,2,1,sqrt,True,0.8043494330524602,0.043160780694639356,339
300,30,10,1,log2,False,0.8043331925908248,0.043361535606013156,340
300,,10,1,log2,False,0.8043331925908248,0.043361535606013156,340
500,30,2,2,sqrt,False,0.8043218842362272,0.042362392697194225,342
500,,2,2,sqrt,False,0.8043218842362272,0.042362392697194225,342
200,,2,1,sqrt,True,0.8043148654685195,0.04321930594090122,344
200,30,2,1,sqrt,True,0.8043148654685195,0.04321930594090122,344
200,10,5,2,log2,True,0.8043042363495065,0.04616027193069369,346
200,10,5,1,sqrt,True,0.8043022047619921,0.04522669924271462,347
300,,5,1,sqrt,False,0.8042967341618784,0.0443727280395618,348
300,30,5,1,sqrt,False,0.8042967341618784,0.0443727280395618,348
800,10,2,4,log2,True,0.8042895256977463,0.04669527873179352,350
800,10,5,4,log2,True,0.8042895256977463,0.04669527873179352,350
300,5,2,2,0.5,True,0.8042811178626721,0.04482258317787762,352
300,10,5,4,sqrt,True,0.8042793555216956,0.044374798963204606,353
300,10,2,4,sqrt,True,0.8042793555216956,0.044374798963204606,353
200,20,5,1,log2,True,0.8042763570943403,0.04720353910990604,355
300,5,5,2,0.5,True,0.8042733341900268,0.043669133136397635,356
200,30,5,1,log2,True,0.8042412693750421,0.04721263751314685,357
200,,5,1,log2,True,0.8042412693750421,0.04721263751314685,357
300,,5,4,0.5,True,0.8042321027542696,0.046238178248251285,359
300,30,2,4,0.5,True,0.8042321027542696,0.046238178248251285,359
300,30,5,4,0.5,True,0.8042321027542696,0.046238178248251285,359
300,20,2,4,0.5,True,0.8042321027542696,0.046238178248251285,359
300,,2,4,0.5,True,0.8042321027542696,0.046238178248251285,359
300,20,5,4,0.5,True,0.8042321027542696,0.046238178248251285,359
500,10,5,1,log2,False,0.8042178326877535,0.04222324691776004,365
300,30,2,2,sqrt,True,0.8042022531039843,0.04383159043512622,366
300,,2,2,sqrt,True,0.8042022531039843,0.04383159043512622,366
300,20,2,2,sqrt,True,0.8042022531039843,0.04383159043512622,366
500,10,10,1,log2,False,0.8041988263298638,0.04361874806778731,369
200,,10,1,log2,True,0.8041970150349714,0.04426709284638529,370
200,30,10,1,log2,True,0.8041970150349714,0.04426709284638529,370
500,5,2,1,0.5,True,0.8041698211346293,0.045001116187734815,372
800,10,5,4,sqrt,True,0.804073296250742,0.045877848510212295,373
800,10,2,4,sqrt,True,0.804073296250742,0.045877848510212295,373
300,30,5,2,0.5,True,0.8040716807715137,0.04416182912243428,375
300,20,5,2,0.5,True,0.8040716807715137,0.04416182912243428,375
300,,5,2,0.5,True,0.8040716807715137,0.04416182912243428,375
300,10,10,2,sqrt,True,0.8040616452187322,0.04556317704218776,378
800,20,5,2,0.5,True,0.8040492598779823,0.04522453378133858,379
800,30,5,2,0.5,True,0.8040492598779823,0.04522453378133858,379
800,,5,2,0.5,True,0.8040492598779823,0.04522453378133858,379
500,5,5,2,0.5,True,0.8040245748658356,0.04414009808009265,382
800,10,10,1,log2,False,0.8040131930803639,0.04225090075944416,383
500,20,10,4,log2,True,0.8040014441405221,0.044488223865109124,384
500,30,10,4,log2,True,0.8040014441405221,0.044488223865109124,384
500,,10,4,log2,True,0.8040014441405221,0.044488223865109124,384
200,10,2,4,sqrt,True,0.8040000611923951,0.04508150913057935,387
200,10,5,4,sqrt,True,0.8040000611923951,0.04508150913057935,387
500,10,10,2,0.5,True,0.8039884835912593,0.04581887755089621,389
800,10,10,2,0.5,True,0.8039497855206555,0.04461495202725536,390
200,20,2,2,sqrt,True,0.8039284048978393,0.0446202599373741,391
200,,2,2,sqrt,True,0.8039284048978393,0.0446202599373741,391
200,30,2,2,sqrt,True,0.8039284048978393,0.0446202599373741,391
300,10,10,4,0.5,True,0.8039239256145245,0.043882110682112736,394
